mode,n,procs,time_s,mem_max_mb,mem_avg_mb
serial,103,1,0.000010,10.250000,
serial,1003,1,0.000009,10.380000,
serial,10003,1,0.000009,10.380000,
serial,100003,1,0.000014,10.380000,
serial,1000003,1,0.000037,10.380000,
serial,10000003,1,0.000091,10.380000,
serial,100000003,1,0.000280,10.380000,
serial,1000000003,1,0.000812,10.500000,
mpi,103,1,0.000025,24.800000,24.800000
mpi,103,2,0.000035,25.150000,25.030000
mpi,103,4,0.000065,24.910000,24.790000
mpi,103,8,0.000153,25.210000,24.910000
mpi,1003,1,0.000043,24.780000,24.780000
mpi,1003,2,0.000031,25.150000,25.080000
mpi,1003,4,0.000065,24.800000,24.730000
mpi,1003,8,0.000102,25.070000,24.770000
mpi,10003,1,0.000106,24.920000,24.920000
mpi,10003,2,0.000034,25.210000,25.050000
mpi,10003,4,0.000114,25.020000,24.830000
mpi,10003,8,0.000088,24.930000,24.770000
mpi,100003,1,0.000031,24.790000,24.790000
mpi,100003,2,0.000033,25.000000,24.960000
mpi,100003,4,0.000075,25.030000,24.850000
mpi,100003,8,0.000163,25.090000,24.770000
mpi,1000003,1,0.000045,24.840000,24.840000
mpi,1000003,2,0.000041,25.030000,25.000000
mpi,1000003,4,0.000059,24.920000,24.760000
mpi,1000003,8,0.000083,25.050000,24.830000
mpi,10000003,1,0.000099,24.950000,24.950000
mpi,10000003,2,0.000066,25.090000,25.060000
mpi,10000003,4,0.001912,24.910000,24.800000
mpi,10000003,8,0.000123,25.150000,24.810000
mpi,100000003,1,0.000254,24.860000,24.860000
mpi,100000003,2,0.000151,25.090000,25.090000
mpi,100000003,4,0.000127,25.030000,24.850000
mpi,100000003,8,0.000124,25.030000,24.830000
mpi,1000000003,1,0.000805,24.900000,24.900000
mpi,1000000003,2,0.000391,25.120000,25.090000
mpi,1000000003,4,0.000264,24.910000,24.830000
mpi,1000000003,8,0.000262,24.930000,24.770000
serial,103,1,0.000008,10.250000,
serial,1003,1,0.000006,10.380000,
serial,10003,1,0.000009,10.380000,
serial,100003,1,0.000014,10.380000,
serial,1000003,1,0.000030,10.380000,
serial,10000003,1,0.000088,10.380000,
serial,100000003,1,0.000256,10.380000,
serial,1000000003,1,0.000826,10.500000,
mpi,103,1,0.000627,24.840000,24.840000
mpi,103,2,0.000032,25.030000,25.010000
mpi,103,4,0.000083,25.000000,24.880000
mpi,103,8,0.000188,25.060000,24.890000
mpi,1003,1,0.000026,24.900000,24.900000
mpi,1003,2,0.000032,25.180000,25.170000
mpi,1003,4,0.000186,25.150000,24.900000
mpi,1003,8,0.000105,25.030000,24.890000
mpi,10003,1,0.000027,24.810000,24.810000
mpi,10003,2,0.000031,25.130000,24.960000
mpi,10003,4,0.000061,24.910000,24.820000
mpi,10003,8,0.000113,25.150000,24.890000
mpi,100003,1,0.000029,24.860000,24.860000
mpi,100003,2,0.000042,25.170000,25.100000
mpi,100003,4,0.000058,24.950000,24.810000
mpi,100003,8,0.000094,25.030000,24.870000
mpi,1000003,1,0.000050,24.780000,24.780000
mpi,1000003,2,0.000041,25.160000,25.080000
mpi,1000003,4,0.000062,24.800000,24.710000
mpi,1000003,8,0.000149,24.960000,24.810000
mpi,10000003,1,0.000097,24.740000,24.740000
mpi,10000003,2,0.000065,25.050000,24.990000
mpi,10000003,4,0.000101,25.050000,24.880000
mpi,10000003,8,0.000117,25.000000,24.810000
mpi,100000003,1,0.000257,24.820000,24.820000
mpi,100000003,2,0.000153,25.230000,25.130000
mpi,100000003,4,0.000145,24.780000,24.580000
mpi,100000003,8,0.000153,24.820000,24.690000
mpi,1000000003,1,0.000791,24.840000,24.840000
mpi,1000000003,2,0.000418,25.060000,25.000000
mpi,1000000003,4,0.000260,24.980000,24.880000
mpi,1000000003,8,0.000332,25.030000,24.810000
