mode,n,procs,time_s,mem_max_mb,mem_avg_mb
serial,103,1,0.000008,10.120000,
serial,1003,1,0.000007,10.250000,
serial,10003,1,0.000009,10.250000,
serial,100003,1,0.000012,10.250000,
serial,1000003,1,0.000029,10.250000,
serial,10000003,1,0.000082,10.380000,
serial,100000003,1,0.000224,10.380000,
serial,1000000003,1,0.000769,10.380000,
serial,10000000003,1,0.003594,10.380000,
serial,100000000003,1,0.010974,10.380000,
serial,1000000000003,1,0.034794,10.380000,
serial,10000000000003,1,0.106142,10.380000,
serial,100000000000003,1,0.335955,10.380000,
serial,1000000000000003,1,1.109517,10.380000,
serial,10000000000000003,1,3.404232,10.380000,
mpi,103,1,0.000642,24.980000,24.980000
mpi,103,2,0.000068,25.130000,25.000000
mpi,103,4,0.000066,24.980000,24.870000
mpi,103,8,0.000077,25.030000,24.890000
mpi,1003,1,0.000021,24.730000,24.730000
mpi,1003,2,0.000028,25.170000,25.100000
mpi,1003,4,0.000050,24.810000,24.700000
mpi,1003,8,0.000076,24.920000,24.790000
mpi,10003,1,0.000023,24.720000,24.720000
mpi,10003,2,0.000039,25.140000,25.120000
mpi,10003,4,0.000048,25.030000,24.780000
mpi,10003,8,0.000092,25.090000,24.870000
mpi,100003,1,0.000026,24.800000,24.800000
mpi,100003,2,0.000030,24.930000,24.880000
mpi,100003,4,0.000093,25.030000,24.800000
mpi,100003,8,0.000131,25.160000,24.810000
mpi,1000003,1,0.000048,24.810000,24.810000
mpi,1000003,2,0.000038,25.070000,25.000000
mpi,1000003,4,0.000118,24.960000,24.800000
mpi,1000003,8,0.000129,25.140000,24.850000
mpi,10000003,1,0.000094,24.740000,24.740000
mpi,10000003,2,0.000065,25.160000,25.110000
mpi,10000003,4,0.000105,25.030000,24.780000
mpi,10000003,8,0.000165,25.280000,24.880000
mpi,100000003,1,0.000284,24.840000,24.840000
mpi,100000003,2,0.000159,25.100000,24.950000
mpi,100000003,4,0.000160,25.160000,24.820000
mpi,100000003,8,0.000216,25.030000,24.750000
mpi,1000000003,1,0.000855,24.840000,24.840000
mpi,1000000003,2,0.000405,25.090000,25.030000
mpi,1000000003,4,0.000261,24.910000,24.790000
mpi,1000000003,8,0.000295,25.030000,24.790000
mpi,10000000003,1,0.003743,24.930000,24.930000
mpi,10000000003,2,0.002088,24.960000,24.930000
mpi,10000000003,4,0.001872,24.930000,24.840000
mpi,10000000003,8,0.003711,24.930000,24.830000
mpi,100000000003,1,0.013152,24.920000,24.920000
mpi,100000000003,2,0.005791,25.090000,25.000000
mpi,100000000003,4,0.002956,25.040000,24.830000
mpi,100000000003,8,0.002859,25.150000,25.010000
mpi,1000000000003,1,0.035267,24.760000,24.760000
mpi,1000000000003,2,0.025126,25.160000,25.130000
mpi,1000000000003,4,0.009892,25.040000,24.890000
mpi,1000000000003,8,0.008809,25.040000,24.800000
mpi,10000000000003,1,0.119169,24.950000,24.950000
mpi,10000000000003,2,0.057080,25.250000,25.230000
mpi,10000000000003,4,0.034492,25.050000,24.830000
mpi,10000000000003,8,0.030063,25.060000,24.870000
mpi,100000000000003,1,0.383223,24.950000,24.950000
mpi,100000000000003,2,0.196760,25.180000,25.080000
mpi,100000000000003,4,0.129922,25.050000,24.840000
mpi,100000000000003,8,0.086170,25.180000,24.900000
mpi,1000000000000003,1,1.155529,24.890000,24.890000
mpi,1000000000000003,2,0.594160,25.340000,25.230000
mpi,1000000000000003,4,0.380197,24.950000,24.800000
mpi,1000000000000003,8,0.245329,25.150000,24.820000
mpi,10000000000000003,1,3.584464,24.880000,24.880000
mpi,10000000000000003,2,1.959711,25.140000,25.120000
mpi,10000000000000003,4,1.158608,25.060000,24.900000
mpi,10000000000000003,8,0.813332,25.030000,24.760000
