mode,n,procs,time_s,mem_max_mb,mem_avg_mb
serial,103,1,0.000006,10.250000,
serial,1003,1,0.000008,10.380000,
serial,10003,1,0.000008,10.380000,
serial,100003,1,0.000013,10.500000,
serial,1000003,1,0.000066,10.500000,
serial,10000003,1,0.000089,10.500000,
serial,100000003,1,0.000305,10.500000,
serial,1000000003,1,0.000843,10.500000,
serial,10000000003,1,0.003895,10.500000,
serial,100000000003,1,0.011749,10.500000,
serial,1000000000003,1,0.036005,10.500000,
serial,10000000000003,1,0.113473,10.500000,
serial,100000000000003,1,0.362452,10.500000,
serial,1000000000000003,1,1.155783,10.500000,
serial,10000000000000003,1,3.646589,10.500000,
mpi,103,1,0.000024,24.880000,24.880000
mpi,103,2,0.000031,25.170000,25.070000
mpi,103,4,0.000063,25.160000,24.900000
mpi,103,8,0.000205,25.150000,24.810000
mpi,1003,1,0.000024,24.830000,24.830000
mpi,1003,2,0.000030,25.220000,25.170000
mpi,1003,4,0.000093,25.220000,24.830000
mpi,1003,8,0.000141,25.220000,24.920000
mpi,10003,1,0.000024,25.090000,25.090000
mpi,10003,2,0.000029,25.160000,25.050000
mpi,10003,4,0.000061,25.090000,24.870000
mpi,10003,8,0.000075,25.120000,24.900000
mpi,100003,1,0.000032,24.830000,24.830000
mpi,100003,2,0.000036,25.250000,25.150000
mpi,100003,4,0.000092,25.050000,24.910000
mpi,100003,8,0.000122,25.210000,25.000000
mpi,1000003,1,0.000046,24.880000,24.880000
mpi,1000003,2,0.000038,25.120000,25.120000
mpi,1000003,4,0.000085,24.910000,24.750000
mpi,1000003,8,0.000143,24.990000,24.800000
mpi,10000003,1,0.000095,24.800000,24.800000
mpi,10000003,2,0.000065,25.220000,25.150000
mpi,10000003,4,0.000077,25.140000,24.850000
mpi,10000003,8,0.000124,25.210000,25.020000
mpi,100000003,1,0.000270,24.860000,24.860000
mpi,100000003,2,0.000240,24.950000,24.870000
mpi,100000003,4,0.000152,25.050000,24.790000
mpi,100000003,8,0.000152,25.180000,25.010000
mpi,1000000003,1,0.000837,24.900000,24.900000
mpi,1000000003,2,0.000385,25.120000,25.020000
mpi,1000000003,4,0.000537,25.030000,24.890000
mpi,1000000003,8,0.000466,25.310000,24.960000
mpi,10000000003,1,0.003715,25.050000,25.050000
mpi,10000000003,2,0.001653,25.300000,25.290000
mpi,10000000003,4,0.001036,25.090000,24.870000
mpi,10000000003,8,0.001004,25.150000,24.920000
mpi,100000000003,1,0.011029,25.090000,25.090000
mpi,100000000003,2,0.005304,25.210000,25.140000
mpi,100000000003,4,0.004733,25.020000,24.910000
mpi,100000000003,8,0.002798,25.240000,24.960000
mpi,1000000000003,1,0.038320,25.030000,25.030000
mpi,1000000000003,2,0.021032,25.070000,25.070000
mpi,1000000000003,4,0.017071,25.210000,25.050000
mpi,1000000000003,8,0.010932,25.160000,24.960000
mpi,10000000000003,1,0.119514,24.910000,24.910000
mpi,10000000000003,2,0.060099,25.340000,25.250000
mpi,10000000000003,4,0.033552,25.280000,24.930000
mpi,10000000000003,8,0.025912,25.150000,24.890000
mpi,100000000000003,1,0.401555,24.840000,24.840000
mpi,100000000000003,2,0.187273,25.230000,25.110000
mpi,100000000000003,4,0.110600,25.280000,25.050000
mpi,100000000000003,8,0.080689,25.300000,24.900000
mpi,1000000000000003,1,1.191102,25.000000,25.000000
mpi,1000000000000003,2,0.622057,25.190000,25.140000
mpi,1000000000000003,4,0.346240,25.160000,25.030000
mpi,1000000000000003,8,0.240270,25.160000,24.910000
mpi,10000000000000003,1,3.789528,25.040000,25.040000
mpi,10000000000000003,2,1.972911,25.270000,25.210000
mpi,10000000000000003,4,1.111237,24.980000,24.940000
mpi,10000000000000003,8,0.783791,25.290000,25.010000
