mode,n,procs,time_s,mem_max_mb,mem_avg_mb
serial,103,1,0.000036,10.120000,
serial,1003,1,0.000006,10.380000,
serial,10003,1,0.000009,10.380000,
serial,100003,1,0.000011,10.500000,
serial,1000003,1,0.000027,10.500000,
serial,10000003,1,0.000140,10.500000,
serial,100000003,1,0.000241,10.500000,
serial,1000000003,1,0.000751,10.500000,
serial,10000000003,1,0.003575,10.500000,
serial,100000000003,1,0.011216,10.500000,
serial,1000000000003,1,0.034237,10.500000,
serial,10000000000003,1,0.105013,10.500000,
serial,100000000000003,1,0.342639,10.500000,
serial,1000000000000003,1,1.073800,10.500000,
serial,10000000000000003,1,3.672673,10.500000,
mpi,103,1,0.000694,24.870000,24.870000
mpi,103,2,0.000041,25.190000,25.100000
mpi,103,4,0.000054,24.840000,24.760000
mpi,103,8,0.000315,25.060000,24.810000
mpi,1003,1,0.000025,24.760000,24.760000
mpi,1003,2,0.000063,25.190000,25.180000
mpi,1003,4,0.000077,24.930000,24.760000
mpi,1003,8,0.000381,25.060000,24.890000
mpi,10003,1,0.000032,24.910000,24.910000
mpi,10003,2,0.000031,25.060000,25.020000
mpi,10003,4,0.000070,24.900000,24.820000
mpi,10003,8,0.000148,25.030000,24.840000
mpi,100003,1,0.000037,24.900000,24.900000
mpi,100003,2,0.000041,25.160000,25.010000
mpi,100003,4,0.000188,24.950000,24.780000
mpi,100003,8,0.000574,25.050000,24.850000
mpi,1000003,1,0.000056,24.830000,24.830000
mpi,1000003,2,0.000068,25.130000,25.080000
mpi,1000003,4,0.000118,24.970000,24.710000
mpi,1000003,8,0.000299,25.150000,24.850000
mpi,10000003,1,0.000100,24.950000,24.950000
mpi,10000003,2,0.000080,25.230000,25.140000
mpi,10000003,4,0.000119,25.030000,24.940000
mpi,10000003,8,0.000150,25.040000,24.860000
mpi,100000003,1,0.000250,24.620000,24.620000
mpi,100000003,2,0.000154,25.280000,25.080000
mpi,100000003,4,0.000294,25.000000,24.850000
mpi,100000003,8,0.000265,25.180000,24.810000
mpi,1000000003,1,0.000800,24.900000,24.900000
mpi,1000000003,2,0.000420,25.210000,25.120000
mpi,1000000003,4,0.000590,25.080000,24.780000
mpi,1000000003,8,0.000372,25.030000,24.820000
mpi,10000000003,1,0.003312,24.930000,24.930000
mpi,10000000003,2,0.001786,25.200000,25.130000
mpi,10000000003,4,0.000936,24.910000,24.700000
mpi,10000000003,8,0.001186,25.060000,24.890000
mpi,100000000003,1,0.010978,24.760000,24.760000
mpi,100000000003,2,0.010737,25.270000,25.200000
mpi,100000000003,4,0.002867,24.950000,24.780000
mpi,100000000003,8,0.003039,24.980000,24.810000
mpi,1000000000003,1,0.039733,24.910000,24.910000
mpi,1000000000003,2,0.018563,25.250000,25.180000
mpi,1000000000003,4,0.019225,25.220000,24.950000
mpi,1000000000003,8,0.009861,24.950000,24.860000
mpi,10000000000003,1,0.108408,24.900000,24.900000
mpi,10000000000003,2,0.056601,25.160000,25.130000
mpi,10000000000003,4,0.032642,25.050000,24.920000
mpi,10000000000003,8,0.029345,25.030000,24.960000
mpi,100000000000003,1,0.349893,24.910000,24.910000
mpi,100000000000003,2,0.179746,25.160000,25.080000
mpi,100000000000003,4,0.099632,25.030000,24.930000
mpi,100000000000003,8,0.073125,25.170000,25.000000
mpi,1000000000000003,1,1.126335,24.780000,24.780000
mpi,1000000000000003,2,0.744386,25.300000,25.240000
mpi,1000000000000003,4,0.401474,25.150000,25.000000
mpi,1000000000000003,8,0.243700,25.030000,24.840000
mpi,10000000000000003,1,3.477624,25.030000,25.030000
mpi,10000000000000003,2,2.013053,25.220000,25.130000
mpi,10000000000000003,4,1.205830,25.050000,24.880000
mpi,10000000000000003,8,0.793635,25.040000,24.880000
